Player,From,To,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
Cazzie Russell,,,GSW,NBA,5.2,80,,2429,541,1182,541,1182,,,172,199,,,350,187,,,,171,1254,.458,.458,,.458,.864,.494
Dennis Awtrey,,,TOT,NBA,5.0,82,,1687,146,305,146,305,,,86,153,,,447,224,,,,234,378,.479,.479,,.479,.562,.508
Goo Kennedy,,,DLC,ABA,5.0,70,,1809,365,664,365,664,0,0,148,232,167,323,490,75,,,113,275,878,.550,.550,,.550,.638,.573
Calvin Murphy,,,HOU,NBA,5.0,77,,1697,381,820,381,820,,,239,269,,,149,262,,,,211,1001,.465,.465,,.465,.888,.533
Herm Gilliam,,,ATL,NBA,4.9,76,,2741,471,1007,471,1007,,,123,150,,,399,482,,,,257,1065,.468,.468,,.468,.820,.496
Bob Netolicky,,,DLC,ABA,4.9,84,,3409,650,1347,650,1343,0,4,269,404,338,513,851,239,,,214,166,1569,.483,.484,.000,.483,.666,.515
Gene Littles,,,CAR,ABA,4.8,84,,2060,310,622,302,592,8,30,179,246,104,158,262,245,120,,125,198,807,.498,.510,.267,.505,.728,.553
Lloyd Neal,,,POR,NBA,4.8,82,,2723,455,921,455,921,,,187,293,,,967,146,,,,305,1097,.494,.494,,.494,.638,.522
Curtis Perry,,,MIL,NBA,4.8,67,,2094,265,575,265,575,,,83,126,,,644,123,,,,246,613,.461,.461,,.461,.659,.486
Bob Warren,,,TOT,ABA,4.8,77,,1571,244,504,239,485,5,19,236,274,92,150,242,147,,,143,212,729,.484,.493,.263,.489,.861,.584
Otto Moore,,,HOU,NBA,4.7,82,,2712,418,859,418,859,,,127,211,,,868,167,,,,239,963,.487,.487,,.487,.602,.506
Johnny Neumann,,,MMT,ABA,4.6,79,,2787,605,1283,596,1232,9,51,329,423,146,164,310,470,,,345,304,1548,.472,.484,.176,.475,.778,.527
Al Smith,,,DNR,ABA,4.5,83,,2343,315,767,298,677,17,90,272,352,68,146,214,477,,,261,295,919,.411,.440,.189,.422,.773,.498
Steve Jones,,,TOT,ABA,4.4,80,,2129,430,883,417,852,13,31,200,247,56,168,224,119,,,150,220,1073,.487,.489,.419,.494,.810,.541
