Player,Tm,W/L%,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%
Vlade Divac,LAL,.476,5.6,82,69,2525,397,819,376,744,21,75,235,341,220,509,729,232,128,140,214,311,1050,.485,.505,.280,.689
Nate McMillan,SEA,.671,5.6,73,25,1977,213,459,188,394,25,65,95,134,84,222,306,384,173,33,139,240,546,.464,.477,.385,.709
Antoine Carr,SAS,.598,5.5,71,46,1947,379,705,379,700,0,5,174,224,107,281,388,97,35,87,96,264,932,.538,.541,.000,.777
Dennis Rodman,DET,.488,5.5,62,55,2410,183,429,168,356,15,73,87,163,367,765,1132,102,48,45,103,201,468,.427,.472,.205,.534
Bill Laimbeer,DET,.488,5.4,79,41,1933,292,574,282,547,10,27,93,104,110,309,419,127,46,40,59,212,687,.509,.516,.370,.894
Avery Johnson,SAS,.598,5.2,75,49,2030,256,510,256,502,0,8,144,182,20,126,146,561,85,16,145,141,656,.502,.510,.000,.791
Ken Norman,LAC,.500,5.2,76,71,2477,498,975,488,937,10,38,131,220,209,362,571,165,59,58,125,156,1137,.511,.521,.263,.595
Mahmoud Abdul-Rauf,DEN,.439,5.1,81,81,2710,633,1407,563,1210,70,197,217,232,51,174,225,344,84,8,187,179,1553,.450,.465,.355,.935
Mario Elie,POR,.622,5.1,82,7,1757,240,524,195,395,45,129,183,214,59,157,216,177,74,20,89,145,708,.458,.494,.349,.855
Kevin Johnson,PHO,.756,5.1,49,47,1643,282,565,281,557,1,8,226,276,30,74,104,384,85,19,151,100,791,.499,.504,.125,.819
Donald Royal,ORL,.500,5.1,77,0,1636,194,391,194,388,0,3,318,390,116,179,295,80,36,25,113,179,706,.496,.500,.000,.815
Harvey Grant,WSB,.268,5.0,72,72,2667,560,1149,559,1139,1,10,218,300,133,279,412,205,72,44,90,168,1339,.487,.491,.100,.727
Christian Laettner,MIN,.232,5.0,81,81,2823,503,1061,499,1021,4,40,462,553,171,537,708,223,105,83,275,290,1472,.474,.489,.100,.835
Tyrone Hill,GSW,.415,4.9,74,66,2070,251,494,251,490,0,4,138,221,255,499,754,68,41,40,92,320,640,.508,.512,.000,.624
